title,director,main_actors,release_year,box_office_revenue,oscars_won
Blade Runner 2049,Denis Villeneuve,Ryan Gosling | Harrison Ford | Ana de Armas | Jared Leto | Robin Wright,2017,259239658.0,2
A Origem,Christopher Nolan,Leonardo DiCaprio | Joseph Gordon-Levitt | Elliot Page | Tom Hardy | Ken Watanabe,2010,829895144.0,4
Interstellar,Christopher Nolan,Matthew McConaughey | Anne Hathaway | Jessica Chastain | Michael Caine | Matt Damon,2014,677471339.0,1
Ex Machina,Alex Garland,Domhnall Gleeson | Alicia Vikander | Oscar Isaac,2014,36800000.0,1
O Guia do Mochileiro das Galáxias,Garth Jennings,Martin Freeman | Mos Def | Sam Rockwell | Zooey Deschanel | Bill Nighy,2005,104000000.0,0
Matrix,"Lana Wachowski, Lilly Wachowski",Keanu Reeves | Laurence Fishburne | Carrie-Anne Moss | Hugo Weaving | Joe Pantoliano,1999,463517383.0,4
Gattaca,Andrew Niccol,Ethan Hawke | Uma Thurman | Jude Law,1997,12300000.0,0
O Homem do Futuro,Cláudio Torres,Wagner Moura | Alinne Moraes | Vincent Cassel,2011,2000000.0,0
Elysium,Neill Blomkamp,Matt Damon | Jodie Foster | Sharlto Copley | Alice Braga | Diego Luna,2013,286000000.0,0
A Chegada,Denis Villeneuve,Amy Adams | Jeremy Renner | Forest Whitaker,2016,203392000.0,1
